field_type,group,name,id,scale,offset,offset2,reg,reg2
Energy,Battery,Total charge,battery_charge_total,,70,72,72,73
Energy,Battery,Total discharge,battery_discharge_total,,74,76,74,75
Energy,Grid,Total import,grid_import_total,,82,86,78,80
Frequency,Grid,Frequency,grid_frequency,,84,,79,
Energy,Grid,Total export,grid_export_total,,88,90,81,82
Energy,Load,Total consumption,load_consumption_total,,96,98,85,86
Temperature,Inverter,DC Temperature,inverter_temperature_dc,,106,,90,
Temperature,Inverter,AC Temperature,inverter_temperature_ac,,108,,91,
Energy,PV,Total production,pv_production_total,,118,120,96,97
Charge,Battery,Capacity,battery_capacity,,140,,107,
Voltage,PV,Voltage 1,pv_voltage_1,0.1,144,,109,
Current,PV,Current 1,pv_current_1,0.1,146,,110,
Voltage,PV,Voltage 2,pv_voltage_2,0.1,148,,111,
Current,PV,Current 2,pv_current_2,0.1,150,,112,
Voltage,Grid,Voltage,grid_voltage,0.1,176,,150,
Voltage,Load,Voltage,load_voltage,0.1,184,,154,
Current,Grid,Current,grid_current,0.01,196,,160,
Current,Load,Current,load_current,0.01,204,,164,
Power,Grid,Power L1,grid_power_l1,,210,,167,
Power,Grid,Power,grid_power,,214,,169,
Power,Inverter,Power,inverter_power,,226,,175,
Power,Load,Power,load_power,,232,,178,
Temperature,Battery,Temperature,battery_temperature,,240,,182,
Voltage,Battery,Voltage,battery_voltage,0.01,242,,183,
StateOfCharge,Battery,SOC,battery_soc,,244,,184,
Power,PV,Power,pv_power,,248,,186,
Power,Battery,Power,battery_power,,256,,190,
Current,Battery,Current,battery_current,0.01,258,,191,
Frequency,Load,Frequency,load_frequency,,260,,192,
Unitless,Grid,Connected,grid_connected,,264,,194,
Voltage,BMS,Charge Voltage,bms_charge_voltage,0.01,276,,,
Current,BMS,Charge Limit Current,bms_charge_limit_current,1,280,,,
Current,BMS,Discharge Limit Current,bms_discharge_limit_current,1,282,,,
Voltage,BMS,Voltage,bms_voltage,0.01,286,,,
Current,BMS,Current,bms_current,1,288,,,
Temperature,BMS,Temperature,bms_temperature,,290,,,
Time,Inverter,Program Time 1,inverter_program_time_1,,,,250,
Time,Inverter,Program Time 2,inverter_program_time_2,,,,251,
Time,Inverter,Program Time 3,inverter_program_time_3,,,,252,
Time,Inverter,Program Time 4,inverter_program_time_4,,,,253,
Time,Inverter,Program Time 5,inverter_program_time_5,,,,254,
Time,Inverter,Program Time 6,inverter_program_time_6,,,,255,
Power,Inverter,Program Power 1,inverter_program_power_1,,,,256,
Power,Inverter,Program Power 2,inverter_program_power_2,,,,257,
Power,Inverter,Program Power 3,inverter_program_power_3,,,,258,
Power,Inverter,Program Power 4,inverter_program_power_4,,,,259,
Power,Inverter,Program Power 5,inverter_program_power_5,,,,260,
Power,Inverter,Program Power 6,inverter_program_power_6,,,,261,
StateOfCharge,Inverter,Program SOC 1,inverter_program_soc_1,,,,268,
StateOfCharge,Inverter,Program SOC 2,inverter_program_soc_2,,,,269,
StateOfCharge,Inverter,Program SOC 3,inverter_program_soc_3,,,,270,
StateOfCharge,Inverter,Program SOC 4,inverter_program_soc_4,,,,271,
StateOfCharge,Inverter,Program SOC 5,inverter_program_soc_5,,,,272,
StateOfCharge,Inverter,Program SOC 6,inverter_program_soc_6,,,,273,
